topic_no	topic_zeta	topic_words
310	-0.0001738076245187775	['évelyne', 'pistodard', 'labrador', '88', 'transmat labrador', 'mis défi', 'transmat', 'krug', 'ordinateur', 'jours']
351	-0.0001738076245187775	['kernik', 'œuf bleu', 'villageois', 'hipprone', 'bufo', 'œuf', 'corson', 'âalkâ kâa', 'kâ âalkâ', 'âalkâ']
320	-0.0001738076245187775	['courcy', 'numéro', 'numéro numéro', 'haymann', 'os', 'jaguar', 'voies', 'drancy', 'fabricants', 'parallèle gauche']
348	-0.0001738076245187775	['quince', 'téléphone', 'pengo', 'eggers', 'dr', 'dr téléphoné', 'téléphones publics', 'prévenons', 'zander', 'affaire pohl']
347	-0.0001738076245187775	['eristan', 'pfui', 'sociétés', 'silverson', 'développement', 'santarém', 'milliards', 'sciavoni', 'civilisation', 'usines']
51	-0.00020225006647517623	['andré', 'edmée', 'méry', 'andrek', 'félicien', 'gosses', 'gosse', 'andré regarda', 'demanda andré', 'couillon']
148	-0.00020527166538971266	['tenebrosa', 'amazones', 'amazone', 'comyn', 'terrienne', 'montray', 'margali', 'serment', 'hastur', 'guilde']
252	-0.00020527166538971266	['robe', 'oklie', 'broche', 'oklie dodds', 'sulie', 'dodds', 'bazelle', 'fermoirs', 'pull', 'etait']
258	-0.00020527166538971266	['sandwich', 'verdhuren', 'michèle', 'raybaud', 'wexford', 'crapule', 'mantoff', 'laviolette', 'ennemie numéro', 'novacek']
262	-0.00020527166538971266	['leguennec', 'vandoosler', 'beautés', 'jov', 'enfer', 'créateur', 'sexe', 'hervé', 'tripatouiller', 'bretelle fusil']
413	-0.00022175908555381444	['glair', 'toledo', 'tileman', 'hemming', 'dr tileman', 'michèle', 'lapointe', 'michèle veux', 'vieilles dames', 'frères mémoire']
407	-0.00022175908555381444	['keif', 'disquette', 'norsworthy', 'rire', 'bigeard', 'monkey', 'végète', 'aimline', 'foule retourne', 'weller']
422	-0.00022175908555381444	['profitendieu', 'massé', 'molinier', 'tombait malade', 'joëlle', 'billots', 'mme cochart', 'cochart', 'hulotte', 'suggère']
40	-0.00023069250843157484	['aimer', 'frédi', 'fouldroule', 'veux', 'amoureuse', 'dis', 'vivre', 'sentiments', 'tooley', 'cœur']
54	-0.00023220330788884316	['professeur', 'école', 'élèves', 'étudiants', 'lycée', 'classe', 'professeurs', 'fredrika', 'année', 'étudiant']
151	-0.0002517123269674814	['babyphone', 'mère', 'matrix', 'laviolette', 'enfants', 'carista', 'ommach', 'bébé', 'tokyo', 'lucides']
145	-0.0002517123269674814	['fédor', 'plani', 'objet', 'flocon', 'pettigrew', 'demander', 'poissons', 'mme wilkins', 'envie', 'œil moscou']
289	-0.0002532231264247496	['vorst', 'souvenirs', 'déconditionnement méditatif', 'déconditionnement', 'méditatif', 'film', 'mésange', 'veux composer', 'closter', 'rencontrée semaine']
329	-0.0002532231264247496	['datsun', '1995', 'pain maïs', 'marocain', 'docteur stahlmann', 'stahlmann', 'permissif', 'nebbi', 'table couche', 'couche']
326	-0.0002532231264247496	['avion', 'pilote', 'orloff', 'selmer', 'singapour', 'nielsen', 'appareil', 'whitewell', 'dearborne', 'piste']
318	-0.0002532231264247496	['xemahoa', 'piggies', 'docteur burmeister', 'burmeister', 'lidla', 'poupée', 'séjour', 'overdose', 'mal commencer', 'fibre maternelle']
309	-0.0002532231264247496	['patillot', 'bylol', 'haas', 'brevets', 'tidal', 'laney', 'nymphettes', 'western', 'corporation', 'tarte citron']
